file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,160,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,161,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,162,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,8
style.css,163,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,13
style.css,164,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,58
style.css,165,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,8
style.css,166,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,22
style.css,167,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,12
style.css,168,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,15
style.css,169,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,19
style.css,170,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,16
style.css,171,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,172,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,13
style.css,173,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,53
style.css,174,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,175,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,13
style.css,176,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,13
style.css,177,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,19
style.css,178,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,10
style.css,179,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,23
style.css,180,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,181,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,21
style.css,182,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,21
style.css,183,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,12
style.css,184,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,13
style.css,185,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,24
style.css,186,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,20
style.css,187,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,22
style.css,188,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,19
style.css,189,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,190,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,191,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,9
style.css,192,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,17
style.css,193,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,194,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,195,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,25
style.css,196,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,37
style.css,197,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,12
style.css,198,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,199,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,0
style.css,200,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,24
style.css,201,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,10
style.css,202,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,36
style.css,203,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,29
style.css,204,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,12
style.css,205,css,36586bd5,Yi-Hsuan Kuo,2025-05-02,12:27:44,-07:00,2025-05-02T12:27:44-07:00,0,17
